@id,accessScheme,contentType,parentPid,publishScheme,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy
frl:6489572,public,file,frl:6489571,public,34b790d90b25da1b407ec7a4d691561e,Food Science   Nutrition - 2024 - Jaffar - Impact of silymarin‐supplemented cookies on liver enzyme and inflammatory.pdf,application/pdf,894196,2025-01-28T12:32:21.013+0100,286.0
frl:6489574,public,file,frl:6489573,public,337cb4e9f36821aa684cdaa80025f4d1,Food Science   Nutrition - 2024 - Zuo - Effects of polyphenols extracted from Keemun black tea on CYP450s activity and.pdf,application/pdf,3550904,2025-01-28T13:18:44.227+0100,286.0
frl:6489619,public,file,frl:6489617,public,8fa841ba5dbd5995f4c1ef6ff1abdb75,1-s2.0-S0378595524002260-main.pdf,application/pdf,1236750,2025-01-30T11:24:23.561+0100,242.0
frl:6489621,public,file,frl:6489620,public,6cb61ba2140d1518840ae5a37e7fca27,Food Science   Nutrition - 2024 - Serdaroğlu - Utilizing chia flour‐based gelled emulsion for the development of functional.pdf,application/pdf,2475451,2025-01-30T12:42:58.099+0100,286.0
frl:6489623,public,file,frl:6489622,public,973104549b5db651943c8785a1d8133a,Food Science   Nutrition - 2024 - Javed - Anti‐anemic potential of Eruca sativa L  in iron‐deficient rat model  network.pdf,application/pdf,9054149,2025-01-30T13:14:44.780+0100,286.0
frl:6489964,public,file,frl:6489958,public,994789bdf2b65c6def6d7b6d116fb2db,s10460-023-10505-8 (2).pdf,application/pdf,2243117,2025-02-03T09:58:27.681+0100,333.0
frl:6490025,public,file,frl:6490004,public,8b337fd8abd4aabad523510e246dae3a,Enhancing peatland monitoring through multisource remote sensing  optical and radar data applications.pdf,application/pdf,3413145,2025-02-03T10:09:24.972+0100,333.0
frl:6490073,public,file,frl:6490069,public,b1e8f8d5325a726f3ced1d5c3a4754c7,s10661-024-12517-1 (1).pdf,application/pdf,1605017,2025-02-03T10:18:42.422+0100,333.0
frl:6490122,public,file,frl:6490118,public,c274fa6600b0d05b6fcd6473aa02b0da,Food Science   Nutrition - 2024 - Mirzazadeh - Comparison of different green extraction methods used for the extraction of.pdf,application/pdf,995319,2025-02-03T10:26:50.296+0100,286.0
frl:6490132,public,file,frl:6490127,public,e5dbb226c4a0bd67ffef81ede9d7a5c2,1-s2.0-S2215016124004576-main.pdf,application/pdf,1290091,2025-02-03T10:28:07.191+0100,333.0
frl:6490214,public,file,frl:6490210,public,4b02f7bfdca9d86b7829b290f8124425,Food Science   Nutrition - 2024 - Öztürk‐Yalçın - Evaluation of microbiological  antioxidant  thermal  rheological and.pdf,application/pdf,2470070,2025-02-03T10:42:47.540+0100,286.0
frl:6490236,public,file,frl:6490231,public,e35d5dbe6804903f26ffac6f895c1d35,Deep_Learning_Improves_Point_Density_in_PS-InSAR_Data_Toward_Finer-Scale_Land_Surface_Displacement_Detection.pdf,application/pdf,1429656,2025-02-03T10:46:45.848+0100,333.0
frl:6490560,public,file,frl:6490556,public,e43db7d1e4d0064bf7a58d2f20e00110,Food Science   Nutrition - 2024 - Nabi - TiO2 nanoparticles  Green synthesis and their role in lessening the damage of.pdf,application/pdf,4215987,2025-02-03T11:43:24.982+0100,286.0
frl:6495201,public,file,frl:6489575,public,7e61bf39ff0e0cf4beabe7bb2597ebbf,IGB_Policy_Brief_Deutschlands_Fluesse_Revitalisierung.pdf,application/pdf,4490190,2025-02-04T07:40:21.694+0100,25.0
frl:6496389,public,file,frl:6495711,public,1485b2efc2f4a6590f2bbf1f29bf27c0,1-s2.0-S2211124724014293-main-2.pdf,application/pdf,6109903,2025-02-04T13:31:36.628+0100,242.0
frl:6500591,public,file,frl:6500587,public,9d3a63f169aa504aa416e08b082695f3,bg-21-5639-2024.pdf,application/pdf,5810460,2025-02-05T09:18:01.712+0100,333.0
frl:6500629,public,file,frl:6500620,public,24fe26a7a280ee1cc1b9ba1ec4e03133,rur_2247_OnlinePDF.pdf,application/pdf,5229706,2025-02-05T09:33:48.557+0100,333.0
frl:6500680,public,file,frl:6500677,public,238cb38ce21c0942f97ad76084202f71,hess-28-2401-2024.pdf,application/pdf,3581788,2025-02-05T09:55:46.709+0100,333.0
frl:6500707,public,file,frl:6500704,public,cc9b2f9212720451741d928034d999ae,s10705-024-10341-0 (1).pdf,application/pdf,1271620,2025-02-05T10:11:59.583+0100,333.0
frl:6500741,public,file,frl:6500733,public,f1f4a2189d7345422a3000def50aeeb6,rvae003.pdf,application/pdf,1805956,2025-02-05T10:36:24.889+0100,333.0
frl:6500790,public,file,frl:6500782,public,5b4c875b32f81bd51bb7af32f08b7f09,Pajouheshnia-et-al_2024_Development and pilot of a metadata list.pdf,application/pdf,1505145,2025-02-05T11:18:14.355+0100,266.0
frl:6500878,public,file,frl:6500873,public,a39f26d724e16588eac39e7fd0231e8f,Pauls-et-al_2024_The participation of hard-to-reach older people in the reserach and development.pdf,application/pdf,262424,2025-02-05T12:05:48.860+0100,266.0
frl:6501019,public,file,frl:6501015,public,7b82034ba16a0e07510ee0d56958ced7,Zielinski-et-al_2024_A transcriptomic biomarker predicting linezolid-associated neuropathy.pdf,application/pdf,2462974,2025-02-05T12:30:38.126+0100,266.0
frl:6504660,public,file,frl:6511737,public,d490fef2fe71897efaf0519c26246e92,00436_2024_Article_8259.pdf,application/pdf,3412771,2025-02-06T03:06:43.415+0100,322.0
frl:6509866,public,file,frl:6511697,public,f051bbb45dc645a97aedf70ef666cdc0,12985_2024_Article_2477.pdf,application/pdf,1312247,2025-02-06T21:40:11.871+0100,322.0
frl:6509982,public,file,frl:6509981,public,10c8e33ff4a8024bd88a1d1d9d123fcc,Maaß-et-al_2024_Mapping Digital Public Health Interventions.pdf,application/pdf,2800424,2025-02-07T09:41:10.578+0100,266.0
frl:6509985,public,file,frl:6509984,public,e8d999690aae14bd3523ebfedb96914b,Liu-et-al_2024_Establish a noninvasive model to screen metabolic dysfunction.pdf,application/pdf,1259795,2025-02-07T11:09:25.198+0100,266.0
frl:6509986,public,file,frl:6509983,public,b196591cd6212498b8d411af9ba24e24,altered-food-liking-in-depression-is-driven-by-macronutrient-composition.pdf,application/pdf,1400609,2025-02-07T11:15:48.732+0100,242.0
frl:6509988,public,file,frl:6509987,public,156af34cb3a77d48624bfa5a184b4bb5,Riedel-et-al_2024_Alcohol use disorders after bariatric surgery.pdf,application/pdf,859277,2025-02-07T12:59:41.866+0100,266.0
frl:6509990,public,file,frl:6509989,public,3032f6f9398c5b9ed9000129ca64ed37,Food Science   Nutrition - 2024 - Türkoğlu - Surface plasmon resonance  molecular docking  and molecular dynamics.pdf,application/pdf,2295679,2025-02-10T10:55:33.790+0100,286.0
frl:6509992,public,file,frl:6509991,public,5fbf72539fef63e760deb7b9e05d21a5,Food Science   Nutrition - 2024 - Birjandi Toroghi - Potential of cold plasma pretreatment for preserving biochemical.pdf,application/pdf,2061185,2025-02-10T11:35:16.716+0100,286.0
frl:6509994,public,file,frl:6509993,public,875da0393ca82d7913b69389859a3880,Food Science   Nutrition - 2024 - Yang - Orientin promotes diabetic wounds healing by suppressing ferroptosis via.pdf,application/pdf,35806143,2025-02-10T12:57:29.865+0100,286.0
frl:6509996,public,file,frl:6509995,public,a9767ed1f5dbdc17a4d3826ef274e800,D Auria-Trends Plant Sci-2024.pdf,application/pdf,539217,2025-02-10T15:15:53.451+0100,325.0
frl:6509998,public,file,frl:6509997,public,af8b017faab1b549a79e267525c847b4,Cho-Hortic Res-2024.pdf,application/pdf,1414632,2025-02-10T15:30:32.785+0100,325.0
frl:6510000,public,file,frl:6509999,public,bd3f3b89f72222fe9518ba813368420c,Egorova-Int J Mol Sci-2024.pdf,application/pdf,4728973,2025-02-10T15:41:29.796+0100,325.0
frl:6510002,public,file,frl:6510001,public,ed55479e5d7c2d42f97bbb50c6ca6dd7,García Brizuela-J Integr Bioinform-2024.pdf,application/pdf,2210088,2025-02-10T15:53:04.815+0100,325.0
frl:6510004,public,file,frl:6510003,public,710c056f7f178b01c3c79b81724ef71c,Gerasimova-Int J Mol Sci-2024.pdf,application/pdf,1695470,2025-02-10T16:06:46.757+0100,325.0
frl:6510006,public,file,frl:6510005,public,ea368cf8f3dac25fd4eeedc08a48e966,ACR Open Rheumatology - 2020 - Klionsky - Thyroid Disease in Lupus An Updated Review.pdf,application/pdf,171819,2025-02-11T19:03:00.204+0100,337.0
frl:6510008,public,file,frl:6489564,public,eaaa99e6e3171fbcf857b43148501e1d,frl6489564_Wollborn_Laura_DFG_research_report.pdf,application/pdf,183157,2025-02-12T09:43:57.488+0100,288.0
frl:6510010,public,file,frl:6510007,public,5f91962c352af0185ce7a2361dc59d85,s41467-025-56401-z-1.pdf,application/pdf,2095444,2025-02-12T09:59:23.418+0100,242.0
frl:6510011,public,file,frl:6510009,public,f9106bd191a22cb118c20b418c1ef72e,Acaturk-et-al_2024_Effectiveness of group problem management.pdf,application/pdf,427863,2025-02-12T10:00:35.604+0100,266.0
frl:6510013,public,file,frl:6510012,public,3c9427c17cc8e495bf443d927c370549,Meuer-et-al_2024_Mapping the existing evidence of the effects of school food policies on health.pdf,application/pdf,319982,2025-02-12T10:32:16.047+0100,266.0
frl:6510015,public,file,frl:6510014,public,8747f2e5205631f958d80f48a7ac01df,Wolters-et-al_2024_Longitudinal associations between vitamin D.pdf,application/pdf,863787,2025-02-12T10:58:11.712+0100,266.0
frl:6510017,public,file,frl:6510016,public,1d77d4f860a4c321a9ef0638e3da1bf2,Wang-et-al_2024_Isotemporal Substitution Effects of Daily Time on Cardiorespiratory Fitness.pdf,application/pdf,1032221,2025-02-12T11:20:20.213+0100,266.0
frl:6510019,public,file,frl:6510018,public,cbdb6b7a9984ad33dbeb4ba6dac1ee4d,NCD Risk Factor Collab_2024_General and abdominal adiposity and hypertension in eight world regions.pdf,application/pdf,1474983,2025-02-12T12:28:16.949+0100,266.0
frl:6510021,public,file,frl:6510020,public,347d9f0326f750620be9873ad9e9f1e5,Dijkstra-et-al_2024_A discovery and verification approach to pharmacovigilance.pdf,application/pdf,1068349,2025-02-12T12:50:36.600+0100,266.0
frl:6510023,public,file,frl:6510022,public,505d3450663880facd996603e7fb5162,2024191_Pankreas___web.pdf,application/pdf,2437007,2025-02-12T14:56:48.667+0100,26.0
frl:6510025,public,file,frl:6510024,public,7e4ad36c94bb141dbf51dcfb1e2de603,1-s2.0-S0968000424002767-main.pdf,application/pdf,6600571,2025-02-13T09:56:20.140+0100,242.0
frl:6510029,public,file,frl:6510026,public,c8b09c404314eb674c441a2fc1313052,LfULG_Schriftenreihe_1_2025.pdf,application/pdf,26522931,2025-02-13T13:38:39.128+0100,18.0
frl:6510030,public,file,frl:6510027,public,35b4a58d3a182a8aa970c5016248b8d1,LfULG_Schriftenreihe_2_2025.pdf,application/pdf,8742169,2025-02-13T13:52:31.194+0100,18.0
frl:6510031,public,file,frl:6510028,public,aea39ee8dfbc88eed7527a8200db29db,Abschlussbericht_landw_Gewaesserschutz_2019-23.pdf,application/pdf,9408428,2025-02-13T14:00:02.170+0100,18.0
frl:6510036,public,file,frl:6510035,public,57d7270c060a8e4f4efd3dda46ac48e9,Food Science   Nutrition - 2024 - Qiu - Improvement of intestinal microbial structure in patients with cerebral infarction.pdf,application/pdf,2117652,2025-02-17T11:03:01.712+0100,286.0
frl:6510039,public,file,frl:6510038,public,b96cf92e701a0e0efd074aa4a4a46310,Kongressband-2024.pdf,application/pdf,10762847,2025-02-17T11:11:47.299+0100,22.0
frl:6510041,public,file,frl:6510037,public,e603542b168b79f311195fe5c0bcd66a,elife-100394-v1.pdf,application/pdf,19519059,2025-02-17T11:18:59.367+0100,242.0
frl:6510043,public,file,frl:6510042,public,2358af72c414dede8fdbaf652f7e7e81,2025_Projektionsbericht_SH.pdf,application/pdf,2005100,2025-02-17T11:24:54.513+0100,22.0
frl:6510045,public,file,frl:6510044,public,d8092c49a61b1fe35543e166dc562f65,NbSNational05_2025_cc.pdf,application/pdf,1508679,2025-02-17T11:32:16.331+0100,22.0
frl:6510047,public,file,frl:6510046,public,822c58e9aa15e901189e90be73d312d1,2022-01-03_climate-change_01-2022_potential_nbs_policy_paper_final.pdf,application/pdf,1400311,2025-02-17T11:39:40.574+0100,22.0
frl:6510049,public,file,frl:6510048,public,47aab04a26d3bd5d24500db06d5417f8,Food Science   Nutrition - 2024 - Rahmani - Antimicrobial Potential of Brassica oleracea Extracts  White and Broccoli  and.pdf,application/pdf,1756907,2025-02-17T11:42:12.734+0100,286.0
frl:6510051,public,file,frl:6510050,public,00a07a3b4be8ca477c17ea574cd8863a,cc_56-2022_role_of_soils_in_climate_change_mitigation_0.pdf,application/pdf,1164593,2025-02-17T11:45:12.387+0100,22.0
frl:6510053,public,file,frl:6510052,public,dc15abaf4e26b4971fdbf59edb3b6ee6,Food Science   Nutrition - 2024 - Siva - Nonindustrial pretreatment and enzymes can yield sufficient calories from.pdf,application/pdf,3946545,2025-02-17T12:11:09.279+0100,286.0
frl:6510066,public,file,frl:6510065,public,7c7b3ee556a16487e4e534ea94323414,BBAW_Denkanstoesse_17_2024_gesamt.pdf,application/pdf,1066464,2025-02-18T11:37:37.971+0100,339.0
frl:6510155,public,file,frl:6510054,public,dfd677cbc1e30ead5454b2a105a819d3,Abschlussbericht 30-1_2 deposit.pdf,application/pdf,250365,2025-02-19T08:50:41.969+0100,288.0
frl:6510157,public,file,frl:6510156,public,19e4a4582b60abfe4c54694a80d78850,pharmaceutics-12-00908-v2.pdf,application/pdf,843323,2025-02-19T09:12:23.809+0100,337.0
frl:6510159,public,file,frl:6510158,public,ee57615fd6fe18299ce35e763b0ea6e3,risks_for_preterm_premature_labor__many_of_them.2.pdf,application/pdf,293215,2025-02-19T09:43:23.848+0100,337.0
frl:6510161,public,file,frl:6510160,public,b1d9e4ba823186279d8711ee8a76da18,10.1515_biol-2020-0091.pdf,application/pdf,2987581,2025-02-19T10:45:39.598+0100,337.0
frl:6510163,public,file,frl:6510162,public,fc445a5d6ff820c6015679286e579648,Cancer Medicine - 2020 - Liu - Efficacy of surgery and chemotherapy for stage IV small bowel adenocarcinoma A.pdf,application/pdf,661444,2025-02-19T11:12:10.045+0100,337.0
frl:6510166,public,file,frl:6510165,public,1f87c81eff39d034b5bc9f5ff7e8807f,923424.pdf,application/pdf,846532,2025-02-19T11:35:44.116+0100,337.0
frl:6510167,public,file,frl:6510164,public,d21464b5fc2c0cd1a87434fd448f0c94,s13195-024-01606-5-1.pdf,application/pdf,3665387,2025-02-19T11:52:19.125+0100,242.0
frl:6510169,public,file,frl:6510168,public,8e6e289cb037e1c8c1e09f5ec2a047b3,Food Science   Nutrition - 2024 - Mesri Alamdari - Assessment of the anti‐inflammatory and anti‐glycemic properties of.pdf,application/pdf,3058192,2025-02-19T13:03:16.045+0100,286.0
frl:6510171,public,file,frl:6510170,public,ba5a18da0b152a3061b681ec843c8e18,PIIS0196655320302091.pdf,application/pdf,424725,2025-02-19T13:53:27.808+0100,337.0
frl:6510173,public,file,frl:6510172,public,af3a424ac9cceee33bdf7087a3759215,predicting_cost_of_inhalational_anesthesia_at_low.3.pdf,application/pdf,328696,2025-02-19T14:05:18.632+0100,337.0
frl:6510175,public,file,frl:6510174,public,708df7f938f753c5fdb5c8a03d979df6,s41467-020-18276-0.pdf,application/pdf,4759696,2025-02-19T14:56:55.423+0100,337.0
frl:6510177,public,file,frl:6510176,public,f1a6d069d1c5adce9a0d902e669fb3c5,shen-et-al-2020-identification-of-parkinson-s-disease-related-pathways-and-potential-risk-factors.pdf,application/pdf,639385,2025-02-20T09:07:23.398+0100,337.0
frl:6510179,public,file,frl:6510178,public,10f6cfdf8c0d1952d2daa020128dcbd5,e001435.full.pdf,application/pdf,3857413,2025-02-20T09:27:37.928+0100,337.0
frl:6510191,public,file,frl:6510190,public,0a6b24ec666927d8e13f5c12411ddc77,s41422-019-0260-6.pdf,application/pdf,5160400,2025-02-20T10:45:21.504+0100,337.0
frl:6510203,public,file,frl:6510202,public,f09df8057a548cc0090a66c6a5756780,33917-57489-1-PB.pdf,application/pdf,128555,2025-02-20T11:26:59.967+0100,337.0
frl:6510205,public,file,frl:6510204,public,f394bb53b6c73ab8f97d66fd4930a9e3,wang-et-al-2020-large-inoperable-leiomyosarcoma-of-the-prostate-treated-by-transcatheter-arterial-chemoembolization.pdf,application/pdf,1390054,2025-02-21T10:10:08.846+0100,337.0
frl:6510210,public,file,frl:6510209,public,bd98c2f85948af0542267fe5a3f69d14,24_2024_cc_potential_blue_carbon.pdf,application/pdf,770280,2025-02-24T11:53:22.643+0100,22.0
frl:6510212,public,file,frl:6510211,public,fe3cf86a33336a2357600a0af94369d6,924263.pdf,application/pdf,3330751,2025-02-24T14:21:54.235+0100,337.0
frl:6510214,public,file,frl:6510213,public,2c06bcc1e0d1720a5e705f3ec4f4dd93,s12876-020-01512-8.pdf,application/pdf,3152291,2025-02-24T14:41:55.564+0100,337.0
frl:6510217,public,file,frl:6510216,public,4bcc1068fc747f119e741c604a789785,Food Science   Nutrition - 2024 - Jang - Anti‐dyslipidemic effects of Pueraria lobata root and Glycine max  L   Merrill.pdf,application/pdf,1123501,2025-02-25T11:36:28.968+0100,286.0
frl:6510220,public,file,frl:6510219,public,8f006fcea975adb4363060bba5e181bf,Food Science   Nutrition - 2024 - Huang - The toxic effects of Helicobacter pylori and benzo a pyrene in inducing atrophic.pdf,application/pdf,9306994,2025-02-25T12:39:36.224+0100,286.0
frl:6510222,public,file,frl:6510208,public,b4b121093e38414a1e3b8c6450dfe628,Global Guideline for the Diagnosis and Management of Candidiasis_ Epidemiology.mp4,video/mp4,25254549,2025-02-25T12:46:59.355+0100,288.0
frl:6510223,public,file,frl:6489565,public,45d7483f0bb322b6f68367a0662c58c8,frl6489565_laepple_2023.pdf,application/pdf,4968418,2025-02-25T12:51:52.482+0100,288.0
frl:6510225,public,file,frl:6510224,public,060686b451c41e214712e1cdd1309b40,Food Science   Nutrition - 2024 - Cebeci - The immunomodulator effect of Stevia rebaudiana Bertoni mediated by TNF‐  and.pdf,application/pdf,15728777,2025-02-25T13:11:34.545+0100,286.0
frl:6510233,public,file,frl:6510226,public,2498a3cd9e25f238fb540ae755dbdbec,journal.pone.0316926.pdf,application/pdf,631029,2025-02-26T10:54:44.043+0100,337.0
frl:6510235,public,file,frl:6510234,public,a0ababd49dd6d084a3711b38a4c380a4,Koenen-et-al_2024_Interpreting deep neural networks with the package innsight.pdf,application/pdf,4592481,2025-02-26T12:55:53.783+0100,266.0
